Session ID,session_1758598875423_g6lsv2q
Prolific ID,582c71a66ef28c00019a1068
Status,completed
Progress,33/33
Created At,"9/22/2025, 11:41:15 PM"
Updated At,"9/23/2025, 12:04:52 AM"
Completed At,"9/23/2025, 12:04:52 AM"

Question Number,Question,Answer
20,How confident are you that changes in Housing affordability lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"I'm pretty confident that the changes in housing affordability lead to changes in support for upzoning as friends and family of, you know, members share this experience with others and it's kind of like a cascading effect to where more and more people support it once they have experience with it and, you know, homelessness is a very impactful event on anybody and the fear of homelessness is strong as well. So I think it's a very strong effect."
21,How would you describe the relationship between Housing supply and Support for Upzoning? Is it a strong or weak connection? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"Housing supply is a very strong connection to support for Epsonia. Again, it's a very strong connection as, in my opinion, it's a major reason. It does have a positive effect of increasing the supply of houses."
22,"Would small changes in Quality of life lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think small changes to quality of life can lead to more support. You know, it's a starting point. And once some support happens, some quality of life changes happen, it's going to, I think, snowball to where those changes kind of lead to other changes. And it's going to continue to have a positive effect and increase in support. I think even small changes are a strong effect."
23,How would you describe the relationship between Transportation congestion and Support for Upzoning? Is it a strong or weak connection? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"I think transportation congestion decreases support for upzoning. Everybody hates traffic or sitting in traffic, congestion. I think it's a strong connection and it would have a negative impact, but it's hard to know how strong this effect is because that's dependent on where these buildings are placed and how bad the traffic would be. So I can't really give an answer on that of how strong the effect is if I've never seen it."
24,"Would small changes in Zoning regulations lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think small zoning changes would give people open to the idea and just increase that initial support. Once that initial support is provided, then it will lead to larger effects."
25,How confident are you that changes in Environmental impact lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,I'm not too confident that changes in environmental impact lead to changes in support for upzoning. I don't really think that any overall change to environmental pollution will be experienced from these high-rise apartments or urbanized environments. I think it's going to be the same either way.
26,How would you describe the relationship between Increased consumer spending and Support for Upzoning? Is it a strong or weak connection? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"I think increasing consumer spending definitely increases the support for upzoning as more consumers spend money in the local environments or communities, there's going to be more jobs. More jobs are going to help people have more money, so it's kind of a snowball effect. And once people start to experience this change, they're going to increase their support more and more."
27,"Is the effect of Affordable housing on Support for Upzoning immediate, or does it take time to develop? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think it's pretty immediate, the effect of affordable housing on support for upzoning. As once the initial residents start to experience that affordability, it's going to spread word of mouth and it's going to continue to grow, grow, grow. If you're going to realize it's a good thing for the city, and you know, prefer that over seeing a whole bunch of homeless people in their city."
28,"Does Zoning and housing policy have a positive or negative effect on Support for Upzoning, and how significant is this effect? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think zoning and housing policy, when used correctly, have a positive effect on support for upzoning. You have to make your local residents happy, and that's where the zoning and housing policy comes in. I don't necessarily know what the exact zoning and housing policy is for area to area, and I'm sure that it's dependent on that, whether or not it's a positive or negative effect."
29,"What factors affect Upzoning policies, and which ones have the strongest influence? Please also indicate if these influences are positive (increasing) or negative (decreasing).","I think upzoning policies that relate to traffic, that relate to rent controls, that relate to the type of residents that are going to be brought in, whether or not, you know, local police stations are constructed around the area, fire stations, stuff like that, just on the safety and well-being of the residents."
30,"Would small changes in Strong connection lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","Again, I think any small changes that introduce the potential for like a word-of-mouth type of relationship are going to lead to larger changes."
31,"Would small changes in Homelessness lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think a small decrease of homelessness will lead to more support for upzoning. Once these small improvements start to be made and the news catches wind or just everyday citizen is noticing less and less homeless people on the street, they're going to be more likely to support these upzoning policies. I'm almost positive that anybody is going to rather have a large building in their site rather than their streets lined with a homeless tent encampment. That's not good for any of the local environment or local government or locale. It's just better for everybody around if there's housing for these people. For more UN videos visit www.un.org"
32,How would you describe the relationship between Strong effect and Support for Upzoning? Is it a strong or weak connection? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"A strong effect is going to have an increase of support for upzoning. Now I think if it's a strong effect, then it's logical to say it's a strong connection. But I'm not sure exactly which effect you're talking about because it's just called strong effect."
33,How confident are you that changes in Positive effect lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,I'm very confident that changes in positive effects lead to more support for upzoning. People are going to respond to those positive effects and increase their support. And it's just going to be an increased amount of effect kind of building on each other.
